rank,enterprise,revenue,profit,country
220,日本制铁集团公司（NIPPON STEEL CORPORATION),61359.1,3801.2,日本
221,迪尔公司（DEERE),61251,10166,美国
222,英伟达公司（NVIDIA),60922,29760,美国
223,StoneX集团（STONEX GROUP),60856.1,238.5,美国
224,苏黎世保险集团（ZURICH INSURANCE GROUP),60645,4351,瑞士
225,法国布伊格集团（BOUYGUES),60599.9,1124.3,法国
226,日本瑞穗金融集团（MIZUHO FINANCIAL GROUP),60503.6,4698,日本
227,戴姆勒卡车控股股份公司（DAIMLER TRUCK HOLDING),60420.4,4081,德国
228,荷兰国际集团（ING GROUP),60401,4475.6,荷兰
229,默沙东（MERCK),60115,365,美国
230,邦吉公司（BUNGE GLOBAL),59540,2243,美国
231,百威英博（ANHEUSER-BUSCH INBEV),59380,5341,比利时
232,兴业银行股份有限公司（INDUSTRIAL BANK),59152.3,10893.3,中国
233,浦项制铁控股公司（POSCO HOLDINGS),58999.2,1300.3,韩国
234,松下控股公司（PANASONIC HOLDINGS),58787.4,3072,日本
235,康菲石油公司（CONOCOPHILLIPS),58574,10957,美国
236,辉瑞制药有限公司（PFIZER),58496,2119,美国
237,达美航空（DELTA AIR LINES),58048,4609,美国
238,中国华能集团有限公司（CHINA HUANENG GROUP),57890.8,1632.1,中国
239,中国能源建设集团有限公司（CHINA ENERGY ENGINEERING GROUP),57708.1,600,中国
240,东风汽车集团有限公司（DONGFENG MOTOR),57595.9,-391.6,中国
241,TD Synnex公司（TD SYNNEX),57555.4,626.9,美国
242,大众超级市场公司（PUBLIX SUPER MARKETS),57534,4349,美国
243,浙江恒逸集团有限公司（ZHEJIANG HENGYI GROUP),57468,23.5,中国
244,好事达（ALLSTATE),57094,-188,美国
245,意大利忠利保险公司（ASSICURAZIONI GENERALI),57022.6,4050.7,意大利
246,思科公司（CISCO SYSTEMS),56998,12613,美国
247,雷普索尔公司（REPSOL),56980.5,3424.8,西班牙
248,联想集团有限公司（LENOVO GROUP),56863.8,1010.5,中国
249,河钢集团有限公司（HBIS GROUP),56728.3,23.7,中国
250,宁德时代新能源科技股份有限公司（CONTEMPORARY AMPEREX TECHNOLOGY),56632.8,6232.5,中国
251,雷诺（RENAULT),56621.6,2376.2,法国
252,巴西布拉德斯科银行（BANCO BRADESCO),56490.5,2854.2,巴西
253,中国电子科技集团有限公司（CHINA ELECTRONICS TECHNOLOGY GROUP),56083.8,2563,中国
254,美国全国保险公司（NATIONWIDE),54609.4,-45.2,美国
255,特许通讯公司（CHARTER COMMUNICATIONS),54607,4557,美国
256,国家电力投资集团有限公司（STATE POWER INVESTMENT),54484.6,1615.9,中国
257,德国艾德卡公司（EDEKA ZENTRALE),54454.6,461.7,德国
258,巴拉特石油公司（BHARAT PETROLEUM),54413.1,3245.4,印度
259,艾伯维（ABBVIE),54318,4863,美国
260,美国纽约人寿保险公司（NEW YORK LIFE INSURANCE),54317.2,804.6,美国
261,英特尔公司（INTEL),54228,1689,美国
262,TJX公司（TJX),54217,4474,美国
263,诺华公司（NOVARTIS),54088,14850,瑞士
264,力拓集团（RIO TINTO GROUP),54041,10058,英国
265,青山控股集团有限公司（TSINGSHAN HOLDING GROUP),53980,1554.2,中国
266,保德信金融集团（PRUDENTIAL FINANCIAL),53979,2488,美国
267,中国远洋海运集团有限公司（COSCO SHIPPING),53929.6,3584.4,中国
268,必和必拓集团（BHP GROUP),53817,12921,澳大利亚
269,惠普公司（HP),53718,3263,美国
270,联合航空控股公司（UNITED AIRLINES HOLDINGS),53717,2618,美国
271,印度塔塔汽车公司（TATA MOTORS),53634.9,3794,印度
272,Performance Food Group公司（PERFORMANCE FOOD GROUP),53354.7,397.2,美国
273,Iberdrola公司（IBERDROLA),53334.1,5192.3,西班牙
274,德国联邦铁路公司（DEUTSCHE BAHN),53197.9,-2566.4,德国
275,日本出光兴产株式会社（IDEMITSU KOSAN),53042.6,1581.1,日本
276,泰森食品（TYSON FOODS),52881,-648,美国
277,美的集团股份有限公司（MIDEA GROUP),52789.6,4763.2,中国
278,美国航空集团（AMERICAN AIRLINES GROUP),52788,822,美国
279,中国联合网络通信股份有限公司（CHINA UNITED NETWORK COMMUNICATIONS),52632.3,1154.5,中国
280,美国利宝互助保险集团（LIBERTY MUTUAL INSURANCE GROUP),52612,213,美国
281,加拿大丰业银行（BANK OF NOVA SCOTIA),52535.8,5495,加拿大
282,沃尔沃集团（VOLVO),52101.5,4696.3,瑞典
283,意大利联合圣保罗银行（INTESA SANPAOLO),52004.4,8350.1,意大利
284,圣戈班集团（SAINT-GOBAIN),51830.3,2917.8,法国
285,陕西延长石油（集团）有限责任公司（SHAANXI YANCHANG PETROLEUM (GROUP)),51525.9,997.3,中国
286,拜耳集团（BAYER),51498.4,-3179.4,德国
287,东京海上日动火灾保险公司（TOKIO MARINE HOLDINGS),51371.9,4814.4,日本
288,耐克公司（NIKE),51217,5070,美国
289,马士基集团（MAERSK GROUP),51065,3822,丹麦
290,菲尼克斯医药公司（PHOENIX PHARMA),50934.9,234.6,德国
291,绿地控股集团股份有限公司（GREENLAND HOLDING GROUP),50897,-1349.9,中国
